epoch,generator and encoder train error,discriminator train accuracy,recognizer train error,generator and encoder val error,discriminator val accuracy,recognizer val error
0,333.0181884765625,0.3125,tensor(1.4893),330.9482116699219,0.38461538461538464,tensor(1.2493)
1,326.6071472167969,0.25,tensor(1.3120),327.1305847167969,0.4230769230769231,tensor(1.2608)
2,321.0228271484375,0.375,tensor(1.2997),322.756103515625,0.36538461538461536,tensor(1.2359)
3,327.5433044433594,0.375,tensor(1.2899),316.83953857421875,0.38461538461538464,tensor(1.1949)
4,325.7975158691406,0.375,tensor(1.3684),326.78509521484375,0.4807692307692308,tensor(1.1767)
5,326.28570556640625,0.3125,tensor(1.4032),318.78997802734375,0.5,tensor(1.1436)
6,320.80108642578125,0.375,tensor(1.3274),333.1131286621094,0.5384615384615384,tensor(1.1497)
7,323.78778076171875,0.3125,tensor(1.9604),351.3804931640625,0.46153846153846156,tensor(1.3188)
8,339.142333984375,0.5,tensor(1.4009),343.0509033203125,0.5,tensor(1.2912)
9,335.9537658691406,0.5625,tensor(1.4044),330.36907958984375,0.4230769230769231,tensor(1.2792)
